site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Eltham,LON6,2018-01-01 00:00:00,10.387007311741147,7.3803680570423325,1.9608812798311381,59.10422855737351,10.931926216498283,4.5085515762424935,256.8069227367412,5.348267918332312
London Eltham,LON6,2018-01-01 01:00:00,10.823717321575817,7.6526958936767056,2.0680885202604715,58.84366977484345,10.720060853068695,4.498158916860668,256.50037536471854,5.379023949831779
London Eltham,LON6,2018-01-01 02:00:00,11.238689285823998,7.89762720528013,2.178986136108885,58.579590185698265,10.543322339391011,4.510795803907356,256.21883616568874,5.420728912405381
London Eltham,LON6,2018-01-01 03:00:00,11.54626578278133,8.07074521517948,2.26667756945148,58.36015591556647,10.361330669401113,4.524490521867099,255.95705087910912,5.4677787583465625
London Eltham,LON6,2018-01-01 04:00:00,11.794164714656473,8.191950054176502,2.349305248522591,58.183812945571454,10.154809097932107,4.533284831770053,255.69946998341717,5.517364688263761
London Eltham,LON6,2018-01-01 05:00:00,12.045819349054343,8.328542993938083,2.4243463748724605,57.99966680243509,9.973967751364706,4.557888505128118,255.5341302494588,5.571643355989653
London Eltham,LON6,2018-01-01 06:00:00,12.360197124076157,8.516517916254777,2.5067841466229073,57.75438061679495,9.800720346606742,4.5899361236111025,255.48222352829396,5.629005401795653
London Eltham,LON6,2018-01-01 07:00:00,12.701787593772917,8.730597615307754,2.5899445087497877,57.486411174047625,9.629118807995804,4.6240658650057265,255.48304201331763,5.68675975126773
London Eltham,LON6,2018-01-01 08:00:00,13.029908116057383,8.945568229446739,2.66373889775191,57.233690180172,9.500100768395937,4.658897044000187,255.50066908430315,5.745989812975925
London Eltham,LON6,2018-01-01 09:00:00,13.394170094414527,9.19091013151266,2.741296471514561,56.97116721423783,9.325105369075446,4.6955317018947795,255.52338068859828,5.805301350531864
London Eltham,LON6,2018-01-01 10:00:00,13.75836382634132,9.440828692000434,2.8158247599475072,56.70316335462272,9.14299438735966,4.733783511386954,255.58319243026708,5.86459357780372
London Eltham,LON6,2018-01-01 11:00:00,13.961823963803814,9.63635994473017,2.8209957893940643,56.4948450191336,9.026501532737155,4.7746588092988835,255.64874898145044,5.9225781261886645
London Eltham,LON6,2018-01-01 12:00:00,14.333561849205429,9.876885417382452,2.9065701643168893,56.23089139153827,8.916226338712173,4.819066534090056,255.73040912383837,5.97687983074468
London Eltham,LON6,2018-01-01 13:00:00,14.122769142693578,9.822851557503947,2.8043346147558026,55.871323800062434,8.858570909766872,4.867819919741817,255.83882230971346,6.034839309638013
London Eltham,LON6,2018-01-01 14:00:00,14.566729875472904,10.122704347067684,2.8983192437278116,55.50688251940339,8.850814189730336,4.914502531508537,255.9289471320673,6.087728483852323
London Eltham,LON6,2018-01-01 15:00:00,14.998289881295047,10.411236063405509,2.9915997180920617,55.17078640950894,8.840250790863946,4.95558888743771,255.96178969057812,6.126342276476797
London Eltham,LON6,2018-01-01 16:00:00,15.409740112089288,10.685340897052342,3.081174027969825,54.90305366674783,8.82713564279529,5.011641391083775,256.06945045292764,6.163683792401835
London Eltham,LON6,2018-01-01 17:00:00,15.702836436488145,10.852819343198464,3.163099762336621,54.80195733675834,8.792693559578156,5.072961367572635,257.1818757737916,6.203404707980305
London Eltham,LON6,2018-01-01 18:00:00,15.638343141222284,10.747383400780148,3.189801862304574,55.0087670607248,8.71500313406879,5.123443701203503,258.81542857810155,6.241716989151581
London Eltham,LON6,2018-01-01 19:00:00,15.42485981860756,10.551069212551159,3.178604471996151,55.29054215292895,8.715653772035482,5.162576669448235,259.76291324421095,6.276327624375218
London Eltham,LON6,2018-01-01 20:00:00,15.058594892602903,10.284673635339269,3.1134713682319015,55.62695262034964,8.686178252685535,5.192317725314231,259.5440059352685,6.292061440578572
London Eltham,LON6,2018-01-01 21:00:00,14.810455590082052,10.164834862311606,3.029795856441224,55.8950312320816,8.735005345631942,5.193104704084776,259.19596686073953,6.286941166304785
London Eltham,LON6,2018-01-01 22:00:00,15.091304303318017,10.350612145330125,3.091799753874237,55.8411668621661,8.716562272277331,5.180378379932864,258.875305364938,6.273536102606262
London Eltham,LON6,2018-01-01 23:00:00,15.243997860444406,10.513356525405587,3.085244722587492,55.62154010781575,8.65416281288084,5.158917709391729,258.539330475083,6.257529909764285
London Eltham,LON6,2018-01-02 00:00:00,15.53914556483419,10.754262962807877,3.120619841277138,55.350552576493286,8.565953044659869,5.139125345762149,258.19290059089377,6.250132546465007
London Eltham,LON6,2018-01-02 01:00:00,15.958854583821136,11.033414433488945,3.212289075445514,55.03000144845676,8.475942595654306,5.123446750195727,257.87274234819733,6.255690351122848
London Eltham,LON6,2018-01-02 02:00:00,16.367191682814152,11.32086579556055,3.291128574977714,54.65474063790071,8.422934465394937,5.1117455649847,257.5912153451368,6.278151599278622
London Eltham,LON6,2018-01-02 03:00:00,16.742126699606835,11.561476022613366,3.3787328987269074,54.301690431532066,8.402059243912554,5.100319297239146,257.32747192799604,6.315126897359943
London Eltham,LON6,2018-01-02 04:00:00,17.118037970719847,11.800166050433898,3.4682262305032836,53.98349492360527,8.444369731283043,5.095283717193784,257.01949356228977,6.361967717945368
London Eltham,LON6,2018-01-02 05:00:00,17.44192593375136,11.997300520841815,3.5508926189619845,53.70576673408556,8.441368894345272,5.104625829366206,256.6854303905587,6.4191019362769035
London Eltham,LON6,2018-01-02 06:00:00,17.63579870095172,12.085964648342204,3.6195078387757147,53.53465818959102,8.430181262411041,5.134442940649332,256.3648354644207,6.483300669589997
London Eltham,LON6,2018-01-02 07:00:00,17.88454612271701,12.237086030905056,3.6831778365972716,53.30747268839297,8.379638173699997,5.166459052879335,256.13103975706304,6.552739434815875
