site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London Marylebone Road,MY1,2018-01-01 00:00:00,219.7453126414072,81.9482818153036,89.86888264947082,20.680072958140983,10.368618925090614,4.594288390621509,258.0533682046679,5.187445266352822
London Marylebone Road,MY1,2018-01-01 01:00:00,221.09544574321413,81.9753201367317,90.7317825576789,20.623364962226646,10.251472578545595,4.60209025355575,257.6955706611392,5.219898231413048
London Marylebone Road,MY1,2018-01-01 02:00:00,222.43016267033772,82.0468454374894,91.55561461734058,20.58277694391917,10.16908406579321,4.613062390848479,257.3701673048767,5.255796049520321
London Marylebone Road,MY1,2018-01-01 03:00:00,222.48388027323696,81.65415436404095,91.84675485626292,20.745120373510247,10.014186791422933,4.630636273858642,257.1058881120467,5.300847958612908
London Marylebone Road,MY1,2018-01-01 04:00:00,221.5932629421895,81.1306819904346,91.6073092608371,20.95972489675789,9.813301397959043,4.661510538500993,256.9063590119568,5.350748442894486
London Marylebone Road,MY1,2018-01-01 05:00:00,220.90158720876312,80.5728567976962,91.52001418360447,21.14571029564223,9.617294222664086,4.710596603082017,256.86622970080896,5.407452583934065
London Marylebone Road,MY1,2018-01-01 06:00:00,220.27538804151092,80.10981830767594,91.4136035749071,21.290427315082866,9.44804991538671,4.762101196050002,256.9386500416522,5.467963561152992
London Marylebone Road,MY1,2018-01-01 07:00:00,220.41034458845948,79.79870569401213,91.70452230867747,21.422165974169925,9.319682430517384,4.810980098548294,257.01924456125823,5.5283070131880825
London Marylebone Road,MY1,2018-01-01 08:00:00,220.74120127193507,79.5308295805965,92.0950056986655,21.576504700538056,9.17009141894652,4.859732976034687,257.11651283361437,5.588385541676659
London Marylebone Road,MY1,2018-01-01 09:00:00,221.36003235183702,79.30312213748145,92.64710373528361,21.713064967341758,9.052860886338442,4.908277675107604,257.19535452146886,5.646914165785018
London Marylebone Road,MY1,2018-01-01 10:00:00,220.60752255213907,78.84856565884745,92.45278362833179,21.862966214921567,8.957734869796,4.957723012605612,257.30201741641906,5.706278213762579
London Marylebone Road,MY1,2018-01-01 11:00:00,221.46962282859775,78.70744280863258,93.10706869724729,21.986515729809923,8.876382675622652,5.0078894367644535,257.41587423913205,5.765093612528392
London Marylebone Road,MY1,2018-01-01 12:00:00,222.91062990036204,78.73910525439868,94.02621938985938,21.997429168022922,8.834396697599137,5.057411507233422,257.50239972616595,5.8137555284134494
London Marylebone Road,MY1,2018-01-01 13:00:00,224.892225624861,78.91394086898234,95.2045576111785,21.91059299604963,8.838510635050753,5.112163615696212,257.64646511688596,5.868441914154987
