site,code,date,nox,no2,no,o3,pm2.5,ws,wd,air_temp
London N. Kensington,KC1,2018-01-01 00:00:00,18.634584457856384,16.685778119137833,1.2709810594734763,60.070209065341466,6.872473860817552,4.594288390621509,258.0533682046679,5.187445266352822
London N. Kensington,KC1,2018-01-01 01:00:00,19.176643636762552,17.122873772883946,1.3394364526155877,59.63774884825341,6.795094235877503,4.60209025355575,257.6955706611392,5.219898231413048
London N. Kensington,KC1,2018-01-01 02:00:00,19.72313429951162,17.5482135392971,1.418449042819146,59.21117428919711,6.717488467184245,4.613062390848479,257.3701673048767,5.255796049520321
London N. Kensington,KC1,2018-01-01 03:00:00,20.1332185511956,17.844810630033283,1.4924633217917413,58.91301963997533,6.62123858363885,4.630636273858642,257.1058881120467,5.300847958612908
London N. Kensington,KC1,2018-01-01 04:00:00,19.865833194031666,17.74779108685705,1.381353664871161,58.67155400680985,6.515319539464074,4.661510538500993,256.9063590119568,5.350748442894486
London N. Kensington,KC1,2018-01-01 05:00:00,20.303371885268525,18.04925652610662,1.4700982739818584,58.364115472985624,6.411705387736099,4.710596603082017,256.86622970080896,5.407452583934065
London N. Kensington,KC1,2018-01-01 06:00:00,20.76814528870591,18.379056731642443,1.5581253760671645,58.019981117280196,6.320350449469759,4.762101196050002,256.9386500416522,5.467963561152992
London N. Kensington,KC1,2018-01-01 07:00:00,21.2018533333701,18.681667396763036,1.6436247405385795,57.72748339602933,6.23242136564114,4.810980098548294,257.01924456125823,5.5283070131880825
London N. Kensington,KC1,2018-01-01 08:00:00,21.59449115378091,18.94836535654672,1.7257604394437898,57.49239073425918,6.134761011517666,4.859732976034687,257.11651283361437,5.588385541676659
London N. Kensington,KC1,2018-01-01 09:00:00,21.975451448516694,19.203344864998254,1.8079229104825654,57.325110981905176,6.053771887950518,4.908277675107604,257.19535452146886,5.646914165785018
London N. Kensington,KC1,2018-01-01 10:00:00,22.330789881842705,19.435543537907375,1.888232538319156,57.17201475770949,5.9744451223723125,4.957723012605612,257.30201741641906,5.706278213762579
London N. Kensington,KC1,2018-01-01 11:00:00,22.659925783454966,19.646403872957652,1.9653697901269247,57.01275683087179,5.912737688421132,5.0078894367644535,257.41587423913205,5.765093612528392
